Security Code,Issuer Name,Security Id,Security Name,Status,Group,Face Value,ISIN No,Industry,Instrument,Sector Name,Industry New Name,Igroup Name,ISubgroup Name
929001,Pune Municipal Corporation,759PUNEM27,PUNE MUNI BOND-7.59%-20-6-27-P,Active,F ,1000000.00,INE807X08017, ,Debentures and Bonds,-,-,-,-
929002,GREATER HYDERABAD MUNICIPAL CORPORATION,89GHMC28,GREATER HYDERABAD MUNICIPAL CORPORATION,Active,F ,1000000.00,INE477Z08014, ,Debentures and Bonds,-,-,-,-
929003,GREATER HYDERABAD MUNICIPAL CORPORATION,938GHMC28,GREATER HYDERABAD MUNICIPAL CORPORATION,Active,F ,1000000.00,INE477Z08022, ,Debentures and Bonds,-,-,-,-
929004,Greater Visakhapatnam Municipal Corporation,10GVMC28,Greater Visakhapatnam Municipal Corporation,Active,F ,1000000.00,INE423G07051, ,Debentures and Bonds,-,-,-,-
929005,Surat Municipal Corporation,868SMC24,Surat Municipal Corporation,Delisted,F ,1000000.00,INE05NX24015, ,Debentures and Bonds,-,-,-,-
929006,Lucknow Municipal Corporation,85LMC24,Lucknow Municipal Corporation,Active,F ,142900.00,INE05OC24017, ,Debentures and Bonds,-,-,-,-
929007,Lucknow Municipal Corporation,85LMC25,Lucknow Municipal Corporation,Active,F ,142900.00,INE05OC24025, ,Debentures and Bonds,-,-,-,-
929008,Lucknow Municipal Corporation,85LMC26,Lucknow Municipal Corporation,Active,F ,142900.00,INE05OC24033, ,Debentures and Bonds,-,-,-,-
929009,Lucknow Municipal Corporation,85LMC27,Lucknow Municipal Corporation,Active,F ,142900.00,INE05OC24041, ,Debentures and Bonds,-,-,-,-
929010,Lucknow Municipal Corporation,85LMC28,Lucknow Municipal Corporation,Active,F ,142900.00,INE05OC24058, ,Debentures and Bonds,-,-,-,-
929011,Lucknow Municipal Corporation,85LMC29,Lucknow Municipal Corporation,Active,F ,142900.00,INE05OC24066, ,Debentures and Bonds,-,-,-,-
929012,Lucknow Municipal Corporation,85LMC30,Lucknow Municipal Corporation,Active,F ,142600.00,INE05OC24074, ,Debentures and Bonds,-,-,-,-
929013,Ghaziabad Nagar Nigam,810GNN25,Ghaziabad Nagar Nigam,Active,F ,142900.00,INE0GVF24014, ,Debentures and Bonds,-,-,-,-
929014,Ghaziabad Nagar Nigam,810GNN26,Ghaziabad Nagar Nigam,Active,F ,142900.00,INE0GVF24022, ,Debentures and Bonds,-,-,-,-
929015,Ghaziabad Nagar Nigam,810GNN27,Ghaziabad Nagar Nigam,Active,F ,142900.00,INE0GVF24030, ,Debentures and Bonds,-,-,-,-
929016,Ghaziabad Nagar Nigam,810GNN28,Ghaziabad Nagar Nigam,Active,F ,142900.00,INE0GVF24048, ,Debentures and Bonds,-,-,-,-
929017,Ghaziabad Nagar Nigam,810GNN29,Ghaziabad Nagar Nigam,Active,F ,142900.00,INE0GVF24055, ,Debentures and Bonds,-,-,-,-
929018,Ghaziabad Nagar Nigam,810GNN30,Ghaziabad Nagar Nigam,Active,F ,142900.00,INE0GVF24063, ,Debentures and Bonds,-,-,-,-
929019,Ghaziabad Nagar Nigam,810GNN31,Ghaziabad Nagar Nigam,Active,F ,142600.00,INE0GVF24071, ,Debentures and Bonds,-,-,-,-
929020,PIMPRI CHINCHWAD MUNICIPAL CORPORATION,815PCMC28,PIMPRI CHINCHWAD MUNICIPAL CORPORATION,Active,F ,100000.00,INE0P1K24010, ,Debentures and Bonds,-,-,-,-
929021,AHMEDABAD MUNICIPAL CORPORATION,79AMC29,AHMEDABAD MUNICIPAL CORPORATION,Active,F ,100000.00,INE117E08029, ,Debentures and Bonds,-,-,-,-
929022,Vadodara Municipal Corporation,79VMC29,Vadodara Municipal Corporation,Active,F ,100000.00,INE0KDG08023, ,Debentures and Bonds,-,-,-,-
958963,GREATER HYDERABAD MUNICIPAL CORPORATION,1023GHMC29,GREATER HYDERABAD MUNICIPAL CORPORATION,Active,F ,1000000.00,INE477Z24011, ,Debentures and Bonds,-,-,-,-
973868,Vadodara Municipal Corporation,715VMC27,Vadodara Municipal Corporation,Active,F ,1000000.00,INE0KDG24012, ,Debentures and Bonds,-,-,-,-
